Time resolution is 1 ps
Time=0 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0001 C2=0000 C3=abcd | LED=0001
Time=15000 | RC_CLK=1 JC_CLK=0 LFSR_CLK=0 | C1=0002 C2=0000 C3=abcd | LED=0002
Time=20000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0002 C2=0000 C3=abcd | LED=0002
Time=25000 | RC_CLK=1 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=0000 C3=abcd | LED=0004
Time=30000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=0000 C3=abcd | LED=0004
Time=35000 | RC_CLK=0 JC_CLK=1 LFSR_CLK=0 | C1=0004 C2=8000 C3=abcd | LED=0004
Time=40000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=8000 C3=abcd | LED=0004
Time=45000 | RC_CLK=0 JC_CLK=1 LFSR_CLK=0 | C1=0004 C2=c000 C3=abcd | LED=0004
Time=50000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=c000 C3=abcd | LED=0004
Time=55000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=1 | C1=0004 C2=c000 C3=579b | LED=0004
Time=60000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=c000 C3=579b | LED=0004
Time=65000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=1 | C1=0004 C2=c000 C3=af37 | LED=0004
Time=70000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=c000 C3=af37 | LED=c000
Time=90000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=c000 C3=af37 | LED=af37
Time=110000 | RC_CLK=0 JC_CLK=0 LFSR_CLK=0 | C1=0004 C2=c000 C3=af37 | LED=0000
$stop called at time : 610 ns : File "G:/My Drive/INTERVIEW_PREPARATION/INTERVIEW_PREPARATION/codings and lab/ASIC_DESIGNS/BIST/bist_datapath/tb_bist_datapath.v" Line 38
